#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.346	-0.173	-0.333333	0.666667	0.333333
0.347	-0.1735	-0.333333	0.666667	0.333333
0.348	-0.174	-0.333333	0.666667	0.333333
0.349	-0.1745	-0.333333	0.666667	0.333333
0.35	-0.175	-0.333333	0.666667	0.333333
0.351	-0.1755	-0.333333	0.666667	0.333333
0.352	-0.176	-0.333333	0.666667	0.333333
0.353	-0.1765	-0.333333	0.666667	0.333333
0.354	-0.177	-0.333333	0.666667	0.333333
0.355	-0.1775	-0.333333	0.666667	0.333333
0.356	-0.178	-0.333333	0.666667	0.333333
0.357	-0.1785	-0.333333	0.666667	0.333333
0.358	-0.179	-0.333333	0.666667	0.333333
0.359	-0.1795	-0.333333	0.666667	0.333333
0.36	-0.18	-0.333333	0.666667	0.333333
0.361	-0.1805	-0.333333	0.666667	0.333333
0.362	-0.181	-0.333333	0.666667	0.333333
0.363	-0.1815	-0.333333	0.666667	0.333333
0.364	-0.182	-0.333333	0.666667	0.333333
0.365	-0.1825	-0.333333	0.666667	0.333333
0.366	-0.183	-0.333333	0.666667	0.333333
0.367	-0.1835	-0.333333	0.666667	0.333333
0.368	-0.184	-0.333333	0.666667	0.333333
0.369	-0.1845	-0.333333	0.666667	0.333333
0.37	-0.185	-0.333333	0.666667	0.333333
0.371	-0.1855	-0.333333	0.666667	0.333333
0.372	-0.186	-0.333333	0.666667	0.333333
0.373	-0.1865	-0.333333	0.666667	0.333333
0.374	-0.187	-0.333333	0.666667	0.333333
0.375	-0.1875	-0.333333	0.666667	0.333333
0.376	-0.188	-0.333333	0.666667	0.333333
0.377	-0.1885	-0.333333	0.666667	0.333333
0.378	-0.189	-0.333333	0.666667	0.333333
0.379	-0.1895	-0.333333	0.666667	0.333333
0.38	-0.19	-0.333333	0.666667	0.333333
0.381	-0.1905	-0.333333	0.666667	0.333333
0.382	-0.191	-0.333333	0.666667	0.333333
0.383	-0.1915	-0.333333	0.666667	0.333333
0.384	-0.192	-0.333333	0.666667	0.333333
0.385	-0.1925	-0.333333	0.666667	0.333333
0.386	-0.193	-0.333333	0.666667	0.333333
0.387	-0.1935	-0.333333	0.666667	0.333333
0.388	-0.194	-0.333333	0.666667	0.333333
0.389	-0.1945	-0.333333	0.666667	0.333333
0.39	-0.195	-0.333333	0.666667	0.333333
0.391	-0.1955	-0.333333	0.666667	0.333333
0.392	-0.196	-0.333333	0.666667	0.333333
0.393	-0.1965	-0.333333	0.666667	0.333333
0.394	-0.197	-0.333333	0.666667	0.333333
0.395	-0.1975	-0.333333	0.666667	0.333333
0.396	-0.198	-0.333333	0.666667	0.333333
0.397	-0.1985	-0.333333	0.666667	0.333333
0.398	-0.199	-0.333333	0.666667	0.333333
0.399	-0.1995	-0.333333	0.666667	0.333333
0.4	-0.2	-0.333333	0.666667	0.333333
0.401	-0.2005	-0.333333	0.666667	0.333333
0.402	-0.201	-0.333333	0.666667	0.333333
0.403	-0.2015	-0.333333	0.666667	0.333333
0.404	-0.202	-0.333333	0.666667	0.333333
0.405	-0.2025	-0.333333	0.666667	0.333333
0.406	-0.203	-0.333333	0.666667	0.333333
